time/time_elapsed,train/reward_max,train/reward_mean,train/std,time/fps,train/value_loss,time/total_timesteps,train/entropy_loss,train/policy_loss,train/reward,time/iterations,train/reward_min,train/explained_variance,train/n_updates,train/learning_rate
1,,,1.0075241327285767,264,1.2228705883026123,500,-41.363555908203125,-26.998302459716797,0.024831349,100,,-2.556396722793579,99,0.0007
3,,,1.008658528327942,266,0.8142699003219604,1000,-41.38867950439453,-30.304676055908203,-0.8609181,200,,0.32168710231781006,199,0.0007
5,,,1.0116255283355713,269,37.17742156982422,1500,-41.479576110839844,-236.40371704101562,6.8051596,300,,-0.046640753746032715,299,0.0007
7,,,1.013545036315918,268,18.581384658813477,2000,-41.529998779296875,178.5759735107422,-0.20120129,400,,-1.1920928955078125e-07,399,0.0007
9,,,1.014504075050354,263,82.67752838134766,2500,-41.559104919433594,335.30804443359375,-5.7685037,500,,5.960464477539063e-08,499,0.0007
11,,,1.0156372785568237,257,17.042341232299805,3000,-41.59640884399414,157.48904418945312,0.32424852,600,,-1.1920928955078125e-07,599,0.0007
13,,,1.0158655643463135,255,3.4266037940979004,3500,-41.598548889160156,-55.969886779785156,-3.6879277,700,,2.0444393157958984e-05,699,0.0007
15,,,1.0188192129135132,255,12.10354232788086,4000,-41.68690490722656,134.2667999267578,-2.3828275,800,,0.009945273399353027,799,0.0007
17,,,1.0176931619644165,254,10.67506217956543,4500,-41.65103530883789,127.39405822753906,-0.6032433,900,,0.0,899,0.0007
19,,,1.018079161643982,256,12.863629341125488,5000,-41.65882873535156,142.9654998779297,-4.5174665,1000,,0.0,999,0.0007
21,,,1.0184324979782104,257,186.7020263671875,5500,-41.667510986328125,-543.2855224609375,4.403021,1100,,5.960464477539063e-08,1099,0.0007
23,,,1.0201270580291748,258,7.180529594421387,6000,-41.720947265625,-100.94756317138672,0.36644068,1200,,0.018212437629699707,1199,0.0007
25,,,1.0189108848571777,259,4.044641971588135,6500,-41.68628692626953,-45.92604064941406,-3.5941703,1300,,-1.1920928955078125e-07,1299,0.0007
26,,,1.018151879310608,260,16.039098739624023,7000,-41.66164779663086,145.4588623046875,0.114492744,1400,,-1.1920928955078125e-07,1399,0.0007
28,,,1.019045114517212,261,6.925731658935547,7500,-41.68707275390625,-11.86041259765625,5.815245,1500,,-0.04638969898223877,1499,0.0007
30,,,1.0186933279037476,261,27.262996673583984,8000,-41.67567825317383,187.71438598632812,3.054155,1600,,1.1920928955078125e-07,1599,0.0007
32,,,1.0209414958953857,262,76.79840087890625,8500,-41.73225402832031,-81.9833984375,-0.73312664,1700,,0.0,1699,0.0007
